location,year,bloom_date,normal_date,substitute_species
網走,2011,2011/5/16,5月10日,えぞやまざくら
網走,2012,2012/5/3,5月10日,えぞやまざくら
網走,2013,2013/5/25,5月10日,えぞやまざくら
網走,2014,2014/5/7,5月10日,えぞやまざくら
網走,2015,2015/4/30,5月10日,えぞやまざくら
網走,2016,2016/5/8,5月10日,えぞやまざくら
網走,2017,2017/5/5,5月10日,えぞやまざくら
網走,2018,2018/5/2,5月10日,えぞやまざくら
網走,2019,2019/5/5,5月10日,えぞやまざくら
網走,2020,2020/5/7,5月10日,えぞやまざくら
札幌,2011,2011/5/7,5月1日,
札幌,2012,2012/5/1,5月1日,
札幌,2013,2013/5/13,5月1日,
札幌,2014,2014/4/29,5月1日,
札幌,2015,2015/4/22,5月1日,
札幌,2016,2016/4/25,5月1日,
札幌,2017,2017/4/28,5月1日,
札幌,2018,2018/4/26,5月1日,
札幌,2019,2019/4/24,5月1日,
札幌,2020,2020/4/30,5月1日,
帯広,2011,2011/5/3,5月2日,えぞやまざくら
帯広,2012,2012/5/5,5月2日,えぞやまざくら
帯広,2013,2013/5/10,5月2日,えぞやまざくら
帯広,2014,2014/4/27,5月2日,えぞやまざくら
帯広,2015,2015/4/26,5月2日,えぞやまざくら
帯広,2016,2016/4/30,5月2日,えぞやまざくら
帯広,2017,2017/5/1,5月2日,えぞやまざくら
帯広,2018,2018/4/27,5月2日,えぞやまざくら
帯広,2019,2019/4/28,5月2日,えぞやまざくら
帯広,2020,2020/5/2,5月2日,えぞやまざくら
釧路,2011,2011/5/18,5月16日,えぞやまざくら
釧路,2012,2012/5/17,5月16日,えぞやまざくら
釧路,2013,2013/5/23,5月16日,えぞやまざくら
釧路,2014,2014/5/12,5月16日,えぞやまざくら
釧路,2015,2015/5/6,5月16日,えぞやまざくら
釧路,2016,2016/5/10,5月16日,えぞやまざくら
釧路,2017,2017/5/14,5月16日,えぞやまざくら
釧路,2018,2018/5/12,5月16日,えぞやまざくら
釧路,2019,2019/5/9,5月16日,えぞやまざくら
釧路,2020,2020/5/10,5月16日,えぞやまざくら
室蘭,2011,2011/5/6,5月4日,
室蘭,2012,2012/5/9,5月4日,
室蘭,2013,2013/5/16,5月4日,
室蘭,2014,2014/4/29,5月4日,
室蘭,2015,2015/4/28,5月4日,
室蘭,2016,2016/4/25,5月4日,
室蘭,2017,2017/5/2,5月4日,
室蘭,2018,2018/4/29,5月4日,
室蘭,2019,2019/4/29,5月4日,
室蘭,2020,2020/5/1,5月4日,
函館,2011,2011/5/2,4月28日,
函館,2012,2012/5/2,4月28日,
函館,2013,2013/5/8,4月28日,
函館,2014,2014/4/28,4月28日,
函館,2015,2015/4/21,4月28日,
函館,2016,2016/4/24,4月28日,
函館,2017,2017/4/27,4月28日,
函館,2018,2018/4/25,4月28日,
函館,2019,2019/4/24,4月28日,
函館,2020,2020/4/26,4月28日,
青森,2011,2011/4/25,4月22日,
青森,2012,2012/4/29,4月22日,
青森,2013,2013/4/29,4月22日,
青森,2014,2014/4/22,4月22日,
青森,2015,2015/4/14,4月22日,
青森,2016,2016/4/17,4月22日,
青森,2017,2017/4/17,4月22日,
